customer,age,occupation,regionType,marriageStatus,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1000004,26,crafts,town,yes,true,6,1,1812,false,0,C,true,true,38,7.5,38,0,0,-0.03,0,0.41,0.33,0,0.36239782,-6.330769732,0,60,0,0,0,0,false
1000012,36,,,yes,true,9,4,544,true,79.99,A,false,true,35.3,24.25,34.98,0,0,0.395,-0.0062,2.39,4,1.67,5.586826347,7.499560298,0,53,0,0,0,0,false
1000034,74,professional,town,yes,false,7,2,138,true,29.99,A,false,true,21.15,45.5,16.99,14,0,-0.31,-0.0832,2.28,0,0.33,0.5,-5.94049255,4.33,58,0,0,0,3,false
1000063,30,,suburban,no,false,6,3,122,true,9.99,C,false,true,91.18,332.75,75,0,0,-0.615,-0.1084,33.21,9,4.67,8.62966138,-0.066484703,5.33,50,0.33,0,0,0,false
1000085,32,,town,yes,false,7,8,10,true,129.99,A,false,true,93.02,1348.25,75,4.75,1.92,-3.305,0.493,436.53,59.33,23,14.04268481,-7.20850186,14.67,56,0,0,0,0,false
1000100,40,homemaker,rural,yes,true,7,4,161,true,9.99,A,false,true,71.86,537.5,75,0,0,1.17,-0.0122,99.72,31.33,7,5.396666667,-17.09342121,9.33,54,0,0,0,0,false
1000121,52,,,no,false,3,1,1619,false,0,D,false,true,33.85,225,29.99,0,0,1.48,-0.0502,156.56,3,0,0.78880554,-0.583748952,0,54,0,0,0,0,false
1000135,32,clerical,,yes,false,5,3,10,true,29.99,E,false,true,70.19,797.25,60,43.25,0,-0.185,-0.1878,300.87,22,3.33,3.367765671,-11.54565754,11.67,49,0.33,0,0,0,false
1000143,40,,,unknown,false,5,11,124,true,149.99,C,true,false,260.81,3209.75,212.99,0,0,-8.435,-0.4238,824.92,141.67,28,4.309085722,21.52038004,30.33,53,4.67,0,0,0,false
1000164,42,,,yes,true,4,2,517,true,29.99,A,false,false,32.27,112.5,31.98,0,0,-0.05,-0.0058,17.12,6,0,5.714285714,9.3693316,1.67,49,0,0,0,0,false
1000196,0,,,unknown,false,0,4,831,false,9.99,G,true,false,46.94,287,30,62.5,0.32,-1.14,-0.2794,48.4,17.33,1.33,5.016268429,-19.97076757,3.67,55,3.33,0,0,0,false
1000230,32,,,no,false,3,5,99,true,129.99,D,false,true,87.52,699,80,0,2.78,-1.72,-0.0614,272.07,72,30.67,2.774331792,16.14509074,13.67,55,1.33,0,0,0,false
1000265,54,self-employed,suburban,yes,false,7,4,443,true,149.99,B,false,true,50.58,432.25,50,5.75,0,2.775,0.0344,29.99,12.67,1.33,5.178287732,6.494714408,2.33,55,0,0,0,0,false
1000312,54,,,yes,false,9,3,53,true,9.99,A,false,true,51.63,409.25,50,0,0,0.355,-0.0326,59.24,20.67,3.33,4.742602351,13.45114527,7,50,3,0,0,0,false
1000328,58,,suburban,yes,false,7,4,160,true,29.99,A,false,true,74.09,456.75,79.99,31.75,1.4,-1.255,-0.282,67.54,10.67,6.67,1.470957614,3.10607215,3,52,1,0,0,1,false
1000357,32,,suburban,no,false,7,4,632,true,29.99,C,false,true,74.37,585.25,80.88,0,0,1.535,-0.6968,181.02,18.67,5.33,2.999703,9.355405247,5,52,0.33,0,0,0,false
1000396,40,professional,suburban,yes,true,5,1,1511,false,0,C,false,true,76.21,862.75,50,204,0,1.565,0.1444,240.59,37.67,38,3.642441485,-7.951182227,8.33,50,0,0,0,0,false
1000422,48,professional,town,yes,false,6,10,16,true,9.99,A,false,true,83.58,879.25,96.78,5.25,0,0.895,-0.064,295.13,34,21.33,5.674,-4.903634729,17.33,54,0,0,0,0,false
1000455,0,,,unknown,false,0,5,767,true,29.99,A,true,false,61.03,133.75,69.99,0,0,-0.235,-0.001,7.95,5.33,1.33,1.185,-2.719241654,2,47,0,0,0,0,false
1000481,50,,suburban,yes,false,6,5,341,true,9.99,D,false,true,93.58,1804,75,25.75,0,4.1,0.2606,600.84,54.33,1.33,7.46969697,-8.148105559,18,49,0,0,0,0,false
1000511,38,clerical,suburban,no,false,5,6,268,true,59.99,A,false,true,93.2,1032.5,75,0,0,5.01,-0.2296,340.84,63,25.67,2.68783016,11.34143888,19.67,51,2,0,0,0,false
1000540,38,,,no,false,6,2,872,true,29.99,C,false,true,71.01,711.5,59.99,69.25,0,-7.63,-0.4006,210.82,27,9.33,0.936390087,9.087285854,12.67,51,0,0,0,0,false
1000566,42,,,unknown,false,5,5,99,true,9.99,A,true,false,95.27,815.25,94.99,0,0,-7.005,-0.1406,183.07,16.33,12.33,3.383654938,-4.408207358,20,47,1,0,0,0,false
1000609,34,,suburban,no,false,7,5,163,true,9.99,A,false,true,53.76,859.75,59.99,11.75,0,0.345,-0.0754,0,0,0,0,-3.466804728,0,53,0,0,0,0,false
1000630,34,,suburban,yes,false,6,4,147,true,149.99,A,false,true,236.02,1493.5,70,650.25,0.47,15.41,3.3792,349.85,122.33,24,2.027390678,5.138812043,6,47,0.33,0,0,0,false
1000636,56,,suburban,no,true,9,14,39,true,9.99,C,false,true,101.17,984.5,84.99,86.5,0,-14.73,-0.4508,257.44,24.67,27.67,3.188478261,0.290122716,33.67,49,0.67,1,1,0,false
1000652,40,clerical,suburban,yes,true,7,8,162,true,9.99,A,false,true,559.79,6336.25,75,4320.75,0,2.715,1.9452,807.76,285,36,8.603580247,2.794422755,88.33,51,0,0,0,0,false
1000662,0,,suburban,unknown,false,0,2,620,true,29.99,A,true,false,75.73,410.75,50,0,6.91,1.845,0.2706,20.95,8,0,2.965429588,-11.70038701,9.33,49,0,0,0,0,false
1000675,48,,,unknown,false,1,6,664,true,29.99,A,false,true,62.13,764.75,50,121.25,0,2.185,0.0776,270.05,27.67,94.33,5.41750565,-5.004561757,51,49,2.67,0,0,2,false
1000711,50,,suburban,yes,true,6,1,1476,false,0,E,false,true,59.99,63.25,59.99,0,0,-0.025,0,4.86,4.67,0.67,1.904162633,-4.13888127,1.67,49,1,0,0,0,false
1000749,54,professional,suburban,yes,true,9,2,369,true,29.99,A,false,true,33.6,172.5,39.99,0,0.39,1.41,-0.0326,4.67,0,0,4.774897681,-3.955586105,4,52,0,0,0,2,false
1000787,48,professional,town,yes,false,7,1,1463,false,0,A,false,true,95.1,817.75,30,150.75,0,11.945,0.807,167.79,29,2.33,1.168110694,6.67384743,3.67,48,0,0,0,1,false
1000807,52,,suburban,no,true,9,3,505,true,9.99,A,false,true,91.15,1072.5,75,0,8.75,0.49,-0.2636,320.67,33.67,7.33,1.90937598,-0.550941863,19,48,0,0,0,0,false
1000828,42,,,unknown,false,4,2,461,true,29.99,E,false,true,75.57,444,40.07,86,0,-0.14,-0.672,141.05,18,1,1.06779661,0.316114296,5,50,0,0,0,0,false
1000842,0,,,unknown,false,0,4,60,true,79.99,A,true,false,64.96,410.75,21.61,77.75,0,-6.935,-1.4342,273,19.67,14,1.915643873,-9.311075944,9.33,50,3,0,0,0,false
1000859,48,professional,town,yes,false,9,5,152,true,149.99,A,false,true,60.48,514.5,50,20,3.78,-2.33,-0.0224,228.79,16.67,7,14.34159061,-15.6881413,6,46,0,0,0,0,false
1000895,0,,,unknown,false,0,3,685,false,29.99,A,true,false,37.26,133.5,44.99,0,0.29,-1.39,0.0098,2.33,11.33,0.67,1.973164957,-17.94435459,3,47,0,0,0,0,false
1000905,52,,rural,no,true,6,3,409,true,29.99,C,false,true,10,0,10,0,0,0,0,0,0,0,0,-10.19795425,0,49,0,0,0,0,false
1000929,26,,,no,false,3,8,91,true,199.99,C,true,false,218.86,1428,119.99,234.5,4.28,8.7,0.2174,169.55,230,20,2.88934787,-5.000635528,38.67,49,0,0,0,0,false
1000959,40,,suburban,yes,false,9,6,341,true,9.99,A,false,true,120.04,1285.25,84.99,163.75,0,-6.445,-0.836,257.34,154.67,51,4.08621992,-4.163124332,74.67,45,1,0,0,0,false
