06 Feb 2016,Sat,2016,FRA,ITA,23,21,3,2,N
06 Feb 2016,Sat,2016,SCO,ENG,9,15,0,2,N
07 Feb 2016,Sun,2016,IRE,WAL,16,16,1,1,N
13 Feb 2016,Sat,2016,FRA,IRE,10,9,1,0,N
13 Feb 2016,Sat,2016,WAL,SCO,27,23,3,2,N
14 Feb 2016,Sun,2016,ITA,ENG,9,40,0,5,N
26 Feb 2016,Fri,2016,WAL,FRA,19,10,1,1,N
27 Feb 2016,Sat,2016,ITA,SCO,20,36,2,3,N
27 Feb 2016,Sat,2016,ENG,IRE,21,10,2,1,N
12 Mar 2016,Sat,2016,IRE,ITA,58,15,9,2,N
12 Mar 2016,Sat,2016,ENG,WAL,25,21,1,3,N
13 Mar 2016,Sun,2016,SCO,FRA,29,18,3,2,N
19 Mar 2016,Sat,2016,WAL,ITA,67,14,9,2,N
19 Mar 2016,Sat,2016,IRE,SCO,35,25,4,3,N
19 Mar 2016,Sat,2016,FRA,ENG,21,31,0,3,N
