Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
15 Feb 1875,Mon,1875,,,ENG,IRE,7,0,2,0,4,0,"The Oval, London",N
08 Mar 1875,Mon,1875,,,SCO,ENG,0,0,0,0,2,2,"Raeburn Place, Edinburgh",N
13 Dec 1875,Mon,1875,,,IRE,ENG,0,4,0,2,0,4,"Rathmines, Dublin",N
06 Mar 1876,Mon,1876,,,ENG,SCO,4,0,2,0,4,0,"The Oval, London",N
05 Feb 1877,Mon,1877,,,ENG,IRE,8,0,4,0,5,0,"The Oval, London",N
19 Feb 1877,Mon,1877,,,IRE,SCO,0,20,0,6,0,5,"Ormeau, Belfast",N
05 Mar 1877,Mon,1877,,,SCO,ENG,3,0,0,0,4,1,"Raeburn Place, Edinburgh",N
04 Mar 1878,Mon,1878,,,ENG,SCO,0,0,0,0,2,2,"The Oval, London",N
11 Mar 1878,Mon,1878,,,IRE,ENG,0,7,0,3,0,4,"Lansdowne Rd, Dublin",N
17 Feb 1879,Mon,1879,,,IRE,SCO,0,7,0,2,0,4,"Ormeau, Belfast",N
10 Mar 1879,Mon,1879,CA,,SCO,ENG,3,3,0,1,2,2,"Raeburn Place, Edinburgh",N
24 Mar 1879,Mon,1879,,,ENG,IRE,11,0,4,0,5,0,"The Oval, London",N
30 Jan 1880,Sat,1880,,,IRE,ENG,1,4,1,2,1,4,"Lansdowne Rd, Dublin",N
14 Feb 1880,Sat,1880,,,SCO,IRE,11,0,3,0,4,0,"Hamilton Crescent, Glasgow",N
28 Feb 1880,Sat,1880,CA,,ENG,SCO,9,3,5,1,5,0,"Whalley Range, Manchester",N
05 Feb 1881,Sat,1881,,,ENG,IRE,8,0,4,0,5,0,"Whalley Range, Manchester",N
19 Feb 1881,Sat,1881,,,ENG,WAL,30,0,13,0,5,0,"Richardsons Field, Blackheath",N
19 Feb 1881,Sat,1881,,,IRE,SCO,3,1,0,1,4,1,"Ormeau, Belfast",N
19 Mar 1881,Sat,1881,CA,,SCO,ENG,4,4,2,1,2,2,"Raeburn Place, Edinburgh",N
28 Jan 1882,Sun,1882,,,IRE,WAL,0,8,0,4,0,5,"Lansdowne Rd, Dublin",N
06 Feb 1882,Mon,1882,,,IRE,ENG,2,2,2,2,2,2,"Lansdowne Rd, Dublin",N
18 Feb 1882,Sat,1882,,,SCO,IRE,2,0,2,0,4,1,"Hamilton Crescent, Glasgow",N
04 Mar 1882,Sat,1882,CA,,ENG,SCO,0,2,0,2,1,4,"Whalley Range, Manchester",N
16 Dec 1882,Sat,1882,5N,,WAL,ENG,0,10,0,6,0,5,Swansea,N
08 Jan 1883,Tue,1883,5N,,SCO,WAL,9,3,3,1,4,0,"Raeburn Place, Edinburgh",N
05 Feb 1883,Mon,1883,5N,,ENG,IRE,6,1,4,1,5,0,"Whalley Range, Manchester",N
17 Feb 1883,Sat,1883,5N,,IRE,SCO,0,4,0,2,0,4,"Ormeau, Belfast",N
03 Mar 1883,Sat,1883,5N CA,,SCO,ENG,1,2,1,2,1,4,"Raeburn Place, Edinburgh",N
05 Jan 1884,Sun,1884,5N,,ENG,WAL,5,3,3,1,4,1,Leeds,N
12 Jan 1884,Sun,1884,5N,,WAL,SCO,0,4,0,1,0,4,Newport,N
04 Feb 1884,Mon,1884,5N,,IRE,ENG,0,3,0,1,1,4,"Lansdowne Rd, Dublin",N
16 Feb 1884,Sat,1884,5N,,SCO,IRE,8,1,4,1,5,0,"Raeburn Place, Edinburgh",N
01 Mar 1884,Sat,1884,5N CA,,ENG,SCO,3,1,1,1,4,1,"Rectory Ground, Blackheath",N
12 Apr 1884,Sat,1884,5N,,WAL,IRE,5,0,2,0,4,0,Cardiff Arms Park,N
