Player,Team,Total Goals,Penalties,Home Goals,Away Goals
J Vardy,Leicester City,19,4,11,8
H Kane,Tottenham,16,4,7,9
R Lukaku,Everton,16,1,8,8
O Ighalo,Watford,15,0,8,7
S Aguero,Manchester City,14,1,10,4
R Mahrez,Leicester City,14,4,4,10
O Giroud,Arsenal,12,0,4,8
D Costa,Chelsea,10,0,7,3
J Defoe,Sunderland,10,0,3,7
G Wijnaldum,Newcastle Utd,9,0,9,0
T Deeney,Watford,8,5,2,6
R Barkley,Everton,8,2,5,3
A Ayew,Swansea City,8,0,5,3
G Sigurdsson,Swansea City,7,3,2,5
W Rooney,Manchester Utd,7,1,3,4
A Martial,Manchester Utd,7,0,4,3
D Alli,Tottenham,7,0,1,6
D Payet,West Ham Utd,7,0,3,4
M Arnautovic,Stoke City,7,2,4,3
Y Toure,Manchester City,7,0,3,4
