Date,Open,High,Low,Close
2013-01-02,357.386,361.151,355.96,359.288
2013-01-03,360.123,363.6,358.031,359.497
2013-01-04,362.314,368.339,361.489,366.601
2013-01-07,365.349,367.301,362.93,365.001
2013-01-08,365.393,365.771,359.874,364.281
2013-01-09,363.769,366.789,361.946,366.675
2013-01-10,369.015,370.093,364.38,368.344
2013-01-11,368.603,368.816,365.771,367.604
2013-01-14,366.119,368.702,358.841,359.288
2013-01-15,357.341,365.125,353.749,360.123
2013-01-16,358.866,359.83,354.529,355.284
2013-01-17,356.536,357.495,353.213,353.362
2013-01-18,352.885,354.082,348.399,349.979
2013-01-22,350.053,350.391,345.513,349.164
2013-01-23,365.617,372.08,365.518,368.354
2013-01-24,368.225,375.97,367.862,374.668
2013-01-25,372.959,376.789,372.701,374.4
2013-01-28,373.451,375.359,371.529,372.939
2013-01-29,370.962,376.029,370.858,374.405
2013-01-30,374.435,378.016,374.022,374.479
2013-01-31,372.83,376.362,372.701,375.403
2013-02-01,376.65,385.791,376.601,385.294
2013-02-04,381.365,382.746,376.685,377.058
2013-02-05,378.106,383.064,377.281,380.396
2013-02-06,377.082,383.983,376.799,382.597
2013-02-07,382.363,386.889,380.277,384.474
2013-02-08,387.544,390.793,387.261,390.147
2013-02-11,386.685,388.97,384.375,388.682
2013-02-12,388.349,391.404,387.167,387.828
2013-02-13,387.544,390.138,387.465,388.901
2013-02-14,387.346,391.822,386.372,391.365
2013-02-15,391.156,394.067,390.992,393.883
2013-02-19,395.423,400.893,395.07,400.818
2013-02-20,400.048,401.871,393.337,393.67
2013-02-21,396.422,400.123,393.054,395.195
2013-02-22,397.048,398.036,394.335,397.271
2013-02-25,398.558,401.593,392.691,392.83
2013-02-26,394.931,395.403,389.666,392.512
2013-02-27,394.832,399.775,392.999,397.306
2013-02-28,397.962,400.888,397.927,398.011
2013-03-01,396.322,400.962,395.503,400.49
2013-03-04,400.048,408.761,399.899,408.096
2013-03-05,411.787,417.36,411.772,416.59
2013-03-06,417.798,419.273,411.727,413.004
2013-03-07,414.335,415.607,412.11,413.61
2013-03-08,414.554,414.762,409.859,413.073
2013-03-11,413.158,417.137,413.063,414.713
2013-03-12,412.671,413.257,409.174,411.131
2013-03-13,411.275,412.661,408.498,409.988
2013-03-14,410.823,410.823,406.054,408.116
2013-03-15,406.605,407.5,404.042,404.519
2013-03-18,399.899,403.754,398.145,401.285
2013-03-19,402.999,406.978,400.619,403.039
2013-03-20,405.776,406.114,403.098,404.723
2013-03-21,403.024,405.821,402.308,403.009
2013-03-22,404.738,404.986,402.204,402.537
2013-03-25,403.58,406.968,400.803,402.204
2013-03-26,404.122,404.37,401.285,403.585
2013-03-27,400.734,400.893,398.076,398.737
2013-03-28,399.397,400.083,394.087,394.529
2013-04-01,394.936,398.533,394.062,398.006
2013-04-02,399.671,404.782,399.402,403.893
2013-04-03,404.102,404.469,397.748,400.495
2013-04-04,399.526,400.272,393.093,394.966
2013-04-05,390.49,390.952,385.691,388.995
2013-04-08,386.859,387.256,381.717,384.921
2013-04-09,385.244,389.343,384.057,386.312
2013-04-10,388.93,393.615,385.493,392.537
2013-04-11,393.878,393.987,389.497,392.641
2013-04-12,393.436,393.491,388.935,392.472
2013-04-15,390.436,395.925,385.999,388.439
