ID,Soloist_Rank,Soloist_Name,Soloist_Instrument
921,2,"Ward-Bergeman, Michael",Accordion
461,3,"Jennings, John",Accoustic Bass
479,3,"Jennings, John",Accoustic Bass
496,3,"Jennings, John",Accoustic Bass
517,3,"Jennings, John",Accoustic Bass
526,3,"Jennings, John",Accoustic Bass
535,3,"Jennings, John",Accoustic Bass
553,3,"Jennings, John",Accoustic Bass
566,3,"Jennings, John",Accoustic Bass
575,3,"Jennings, John",Accoustic Bass
670,2,"Hubbard, Tom",Accoustic Bass
675,2,"Hubbard, Tom",Accoustic Bass
680,2,"Hubbard, Tom",Accoustic Bass
685,2,"Hubbard, Tom",Accoustic Bass
690,2,"Hubbard, Tom",Accoustic Bass
363,4,"Willard, Fred",Actor
376,4,"Ella, Peyton",Actress
303,1,"Stutzmann, Nathalie",Alto
316,1,"Stutzmann, Nathalie",Alto
708,4,"Campo, Helen",Alto Flute
549,4,"Zeltser, Elizabeth",Amplified Violin
603,3,"Sturiale, Grant",Assistant Conductor
616,3,"Sturiale, Grant",Assistant Conductor
685,1,"Weilerstein, Joshua",Assistant Conductor
686,1,"Tritle, Kent",Assistant Conductor
55,2,"Rence, Dorian",Author
63,2,"Rence, Dorian",Author
294,2,"Rence, Dorian",Author
371,1,"Rence, Dorian",Author
692,1,United States Military Academy Band,Band
693,1,United States Military Academy Band,Band
694,1,United States Military Academy Band,Band
695,1,United States Military Academy Band,Band
696,1,United States Military Academy Band,Band
697,1,United States Military Academy Band,Band
698,1,United States Military Academy Band,Band
699,1,United States Military Academy Band,Band
700,1,United States Military Academy Band,Band
706,1,United States Military Academy Band,Band
707,1,United States Military Academy Band,Band
708,1,United States Military Academy Band,Band
710,1,United States Military Academy Band,Band
712,1,United States Military Academy Band,Band
713,1,United States Military Academy Band,Band
732,2,United States Coast Guard Band,Band
733,2,United States Coast Guard Band,Band
734,2,United States Coast Guard Band,Band
735,2,United States Coast Guard Band,Band
736,2,United States Coast Guard Band,Band
737,2,United States Coast Guard Band,Band
738,2,United States Coast Guard Band,Band
739,2,United States Coast Guard Band,Band
741,2,United States Coast Guard Band,Band
742,2,United States Coast Guard Band,Band
743,2,United States Coast Guard Band,Band
745,2,United States Coast Guard Band,Band
746,2,United States Coast Guard Band,Band
747,2,United States Coast Guard Band,Band
748,2,United States Coast Guard Band,Band
123,1,"Leiferkus, Sergei",Baritone
419,2,"Duncan, Tyler",Baritone
436,2,"Duncan, Tyler",Baritone
457,3,"Jennings, John",Baritone
591,1,"Imbrailo , Jacques",Baritone
597,1,"Imbrailo , Jacques",Baritone
636,1,"Hopkins, Joshua",Baritone
643,1,"Hopkins, Joshua",Baritone
681,1,"Markgraf, Kelly",Baritone
694,3,"Imbrailo , Jacques",Baritone
697,3,"Imbrailo , Jacques",Baritone
702,3,"Imbrailo , Jacques",Baritone
705,2,"Outlaw, Sidney",Baritone
710,3,"Imbrailo , Jacques",Baritone
713,3,"Imbrailo , Jacques",Baritone
792,3,"Ford, Carlton",Baritone
865,1,"Hopkins, Joshua",Baritone
958,4,"Braun, Russell",Baritone
136,1,"Deas, Kevin",Bass
234,2,"Miles, Alastair",Bass
258,3,"Rose, Matthew",Bass
305,1,"Rose, Peter",Bass
318,1,"Rose, Peter",Bass
426,2,"Tipton, Paul",Bass
793,3,"Burdette, Kevin",Bass
165,1,"Zoloto, Amy",Bass Clarinet
709,4,"Gomez, Lino",Bass Clarinet
18,4,"Curran, George",Bass Trombone
163,4,"Curran, George",Bass Trombone
338,1,"Markey, James",Bass Trombone
756,2,"Curran, George",Bass Trombone
758,2,"Curran, George",Bass Trombone
763,2,"Curran, George",Bass Trombone
775,2,"Curran, George",Bass Trombone
780,2,"Curran, George",Bass Trombone
782,2,"Curran, George",Bass Trombone
787,2,"Curran, George",Bass Trombone
792,2,"Curran, George",Bass Trombone
796,2,"Curran, George",Bass Trombone
802,2,"Curran, George",Bass Trombone
903,1,"Markey, James",Bass Trombone
1002,3,"Curran, George",Bass Trombone
446,2,"Baltacigil, Fora",Bass Viol
450,2,"Baltacigil, Fora",Bass Viol
16,1,"Terfel, Bryn",Bass-Baritone
23,1,"Terfel, Bryn",Bass-Baritone
29,1,"Terfel, Bryn",Bass-Baritone
31,1,"Terfel, Bryn",Bass-Baritone
454,2,"Owens, Eric",Bass-Baritone
535,4,"Owens, Eric",Bass-Baritone
675,1,"McKinney, Ryan",Bass-Baritone
676,1,"Miller, Keith",Bass-Baritone
702,2,"Finley, Gerald",Bass-Baritone
783,3,"Hughes, Evan",Bass-Baritone
788,3,"Hughes, Evan",Bass-Baritone
934,2,"Allicock, Aubrey",Bass-Baritone
985,2,"Foster-Williams, Andrew",Bass-Baritone
17,3,"LeClair, Judith",Bassoon
18,2,"Laskowski, Kim",Bassoon
19,2,"Fast, Arlen",Bassoon
166,1,"Laskowski, Kim",Bassoon
230,4,"Foster, Brent",Bassoon
238,2,"Fast, Arlen",Bassoon
250,4,"Foster, Brent",Bassoon
280,2,"Nye, Roger",Bassoon
285,2,"Nye, Roger",Bassoon
291,2,"Nye, Roger",Bassoon
309,1,"Laskowski, Kim",Bassoon
314,2,"LeClair, Judith",Bassoon
384,3,"LeClair, Judith",Bassoon
393,3,"LeClair, Judith",Bassoon
429,1,"Laskowski, Kim",Bassoon
434,1,"Laskowski, Kim",Bassoon
441,1,"Laskowski, Kim",Bassoon
441,2,"Laskowski, Kim",Bassoon
448,1,"Laskowski, Kim",Bassoon
484,4,"LeClair, Judith",Bassoon
531,2,"Laskowski, Kim",Bassoon
535,2,"Laskowski, Kim",Bassoon
538,2,"Laskowski, Kim",Bassoon
559,4,"LeClair, Judith",Bassoon
560,4,"Laskowski, Kim",Bassoon
561,4,"Nye, Roger",Bassoon
563,4,"LeClair, Judith",Bassoon
570,1,"LeClair, Judith",Bassoon
571,4,"LeClair, Judith",Bassoon
573,4,"Nye, Roger",Bassoon
575,4,"LeClair, Judith",Bassoon
577,4,"Nye, Roger",Bassoon
579,4,"LeClair, Judith",Bassoon
580,4,"Laskowski, Kim",Bassoon
581,4,"Nye, Roger",Bassoon
583,4,"LeClair, Judith",Bassoon
584,4,"Laskowski, Kim",Bassoon
585,4,"Nye, Roger",Bassoon
587,4,"LeClair, Judith",Bassoon
589,4,"Nye, Roger",Bassoon
591,4,"LeClair, Judith",Bassoon
762,4,"Laskowski, Kim",Bassoon
767,4,"Laskowski, Kim",Bassoon
771,4,"Laskowski, Kim",Bassoon
867,2,"Nye, Roger",Bassoon
871,2,"Nye, Roger",Bassoon
893,1,"Nye, Roger",Bassoon
900,2,"Nye, Roger",Bassoon
912,1,"Laskowski, Kim",Bassoon
966,2,"Laskowski, Kim",Bassoon
975,4,"Laskowski, Kim",Bassoon
994,2,"Laskowski, Kim",Bassoon
999,2,"Laskowski, Kim",Bassoon
1006,1,"LeClair, Judith",Bassoon
593,1,"Montagnino, Jake",Boy Soprano
62,1,"American Boychoir, The",Boys Choir
51,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
61,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
69,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
71,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
79,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
81,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
85,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
91,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
97,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
108,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
115,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
125,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
128,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
135,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
145,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
149,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
155,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
159,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
169,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
190,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
200,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
204,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
210,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
214,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
221,2,New York Philharmonic Principal Brass Quintet,Brass Quintet
234,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
244,1,New York Philharmonic Principal Brass Quintet,Brass Quintet
245,3,New York Philharmonic Principal Brass Quintet,Brass Quintet
2,2,"Kitsopoulos, Maria",Cello
5,2,"Weilerstein, Alisa",Cello
6,1,"Moon, Eileen",Cello
