AARON,0.121
ABBEY,0.002
ABBIE,0.005
ABBY,0.009
ABDUL,0.004
ABE,0.004
ABEL,0.01
ABIGAIL,0.013
ABRAHAM,0.018
ABRAM,0.003
ADA,0.029
ADAH,0.001
ADALBERTO,0.003
ADALINE,0.001
ADAM,0.131
ADAN,0.005
ADDIE,0.013
ADELA,0.007
ADELAIDA,0.002
ADELAIDE,0.005
ADELE,0.013
ADELIA,0.002
ADELINA,0.004
ADELINE,0.009
ADELL,0.003
ADELLA,0.002
ADELLE,0.002
ADENA,0.001
ADINA,0.002
ADOLFO,0.007
ADOLPH,0.006
ADRIA,0.002
ADRIAN,0.04
ADRIANA,0.013
ADRIANE,0.002
ADRIANNA,0.002
ADRIANNE,0.004
ADRIEN,0.001
ADRIENE,0.001
ADRIENNE,0.02
AFTON,0.002
AGATHA,0.004
AGNES,0.05
AGNUS,0.001
AGRIPINA,0.001
AGUEDA,0.001
AGUSTIN,0.008
AGUSTINA,0.002
AHMAD,0.004
AHMED,0.003
AI,0.001
AIDA,0.012
AIDE,0.001
AIKO,0.001
AILEEN,0.009
AILENE,0.001
AIMEE,0.014
AISHA,0.005
AJA,0.002
AKIKO,0.001
AKILAH,0.001
AL,0.012
ALAINA,0.003
ALAINE,0.001
ALAN,0.102
ALANA,0.007
ALANE,0.001
ALANNA,0.002
ALAYNA,0.001
ALBA,0.005
ALBERT,0.158
ALBERTA,0.026
ALBERTHA,0.002
ALBERTINA,0.001
ALBERTINE,0.002
ALBERTO,0.027
ALBINA,0.002
ALDA,0.002
ALDEN,0.004
ALDO,0.004
ALEASE,0.001
ALEC,0.004
ALECIA,0.004
ALEEN,0.001
ALEIDA,0.001
ALEISHA,0.001
ALEJANDRA,0.007
ALEJANDRINA,0.001
ALEJANDRO,0.022
ALENA,0.002
ALENE,0.004
ALESHA,0.002
ALESHIA,0.001
ALESIA,0.002
ALESSANDRA,0.001
ALETA,0.002
ALETHA,0.004
ALETHEA,0.002
ALETHIA,0.001
ALEX,0.059
ALEXA,0.004
ALEXANDER,0.068
ALEXANDRA,0.02
ALEXANDRIA,0.007
ALEXIA,0.002
ALEXIS,0.021
ALFONSO,0.019
ALFONZO,0.004
ALFRED,0.082
ALFREDA,0.005
ALFREDIA,0.001
ALFREDO,0.028
ALI,0.007
ALIA,0.001
ALICA,0.001
ALICE,0.179
ALICIA,0.073
ALIDA,0.002
ALINA,0.004
ALINE,0.006
ALISA,0.011
ALISE,0.001
