ID,Orchestra,ComposerName,ConductorName
396,New York Philharmonic,"Salonen, Esa-Pekka","Gilbert, Alan"
295,New York Philharmonic,"Sibelius, Jean","Gersen, Joshua"
122,New York Philharmonic,"Brahms, Johannes","Dohnanyi, Christoph von"
874,New York Philharmonic,"Debussy, Claude","Gilbert, Alan"
755,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
910,New York Philharmonic,"Dvorak, AntonÌ_n","Gilbert, Alan"
490,New York Philharmonic,"Rimsky-Korsakov, Nikolai","Gilbert, Alan"
124,NY Philharmonic Ensembles,"Beethoven, Ludwig van","Dohnanyi, Christoph von"
557,Musicians from the New York Philharmonic,"Sousa, John Philip","Gilbert, Alan"
21,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Boreyko, Andrey"
94,Musicians from the New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
423,New York Philharmonic,"Prokofiev, Sergei","Gilbert, Alan"
643,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
485,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
454,New York Philharmonic,"Bruckner, Anton","Gilbert, Alan"
195,NYP Presentation,"Keillor/Dworsky/Stein, Garrison/Rich/Andy","Fisher, Rob"
20,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Boreyko, Andrey"
115,New York Philharmonic,"Sousa, John Philip","Dix, Brian"
349,New York Philharmonic,"Igudesman & Joo, Aleksey & Huyng-ki","Gilbert, Alan"
666,NYP Presentation,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
109,New York Philharmonic,"Dix, Brian","Dix, Brian"
459,Musicians from the New York Philharmonic,"Sousa, John Philip","Gilbert, Alan"
731,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
626,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
157,New York Philharmonic,"Respighi, Ottorino","Dutoit, Charles"
603,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
302,New York Philharmonic,"Marsalis, Wynton","Gilbert, Alan"
431,New York Philharmonic,"Bruckner, Anton","Gilbert, Alan"
359,New York Philharmonic,"Norgard [NÌürgÌ´rd], Per","Gilbert, Alan"
807,New York Philharmonic,"Strauss, Richard","Gilbert, Alan"
170,Musicians from the New York Philharmonic,"Bruch, Max","Eschenbach, Christoph"
70,New York Philharmonic,"Stalling, Carl W.","Daugherty, George"
150,New York Philharmonic,"Ravel, Maurice","Dutoit, Charles"
837,New York Philharmonic,"Puccini, Giacomo","Gilbert, Alan"
80,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
519,New York Philharmonic,"Rouse, Christopher","Gilbert, Alan"
76,New York Philharmonic,"Franck, CÌ©sar","Davis, Andrew"
964,New York Philharmonic,"Prokofiev, Sergei","Gilbert, Alan"
105,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Deneve [DenÌ¬ve], Stephane [StÌ©phane]"
699,Musicians from the New York Philharmonic,"Bernstein, Leonard","Gilbert, Alan"
882,New York Philharmonic,"Barber, Samuel","Gilbert, Alan"
800,Musicians from the New York Philharmonic,"Shostakovich, Dmitri","Gilbert, Alan"
839,New York Philharmonic,"Puccini, Giacomo","Gilbert, Alan"
211,New York Philharmonic,"Stein, Andy","Fisher, Rob"
432,Musicians from the New York Philharmonic,"Copland, Aaron","Gilbert, Alan"
959,New York Philharmonic,"Prokofiev, Sergei","Gilbert, Alan"
982,New York Philharmonic,"Schubert, Franz","Gilbert, Alan"
568,New York Philharmonic,"Anthem,","Gilbert, Alan"
438,New York Philharmonic,"Puccini, Giacomo","Gilbert, Alan"
40,New York Philharmonic,"Brock, Timothy","Brock, Timothy"
260,New York Philharmonic,"Rankin, Rimari","Gersen, Joshua"
142,New York Philharmonic,"Stravinsky, Igor","Dutoit, Charles"
382,New York Philharmonic,"Anthem,","Gilbert, Alan"
920,New York Philharmonic,"Musorgsky, Modest","Gilbert, Alan"
611,Musicians from the New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
83,New York Philharmonic,"Prokofiev, Sergei","Davis, Andrew"
681,New York Philharmonic,"Berlioz, Hector","Gilbert, Alan"
514,NY Philharmonic Ensembles,"Dvorak, AntonÌ_n","Gilbert, Alan"
284,Musicians from the New York Philharmonic,"Sibelius, Jean","Gersen, Joshua"
335,New York Philharmonic,"Eotvos [EÌ¦tvÌ¦s], Peter","Gilbert, Alan"
880,New York Philharmonic,"Barber, Samuel","Gilbert, Alan"
970,New York Philharmonic,"Tchaikovsky, Pyotr Ilyich","Gilbert, Alan"
804,New York Philharmonic,"Shostakovich, Dmitri","Gilbert, Alan"
426,Musicians from the New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
536,New York Philharmonic,"Debussy, Claude","Gilbert, Alan"
365,New York Philharmonic,"Rota, Nino","Gilbert, Alan"
161,Musicians from the New York Philharmonic,"Respighi, Ottorino","Dutoit, Charles"
210,New York Philharmonic,"Stein, Andy","Fisher, Rob"
674,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
189,New York Philharmonic,"Reznicek, Emil Nikolaus von","Fisher, Rob"
953,New York Philharmonic,"Grieg, Edvard","Gilbert, Alan"
429,New York Philharmonic,"Ravel, Maurice","Gilbert, Alan"
522,New York Philharmonic,"Offenbach, Jacques","Gilbert, Alan"
547,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
535,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
665,New York Philharmonic,"Mozart, Wolfgang Amadeus","Gilbert, Alan"
465,New York Philharmonic,"Beethoven, Ludwig van","Gilbert, Alan"
884,New York Philharmonic,"Barber, Samuel","Gilbert, Alan"
