ID,Event_Type,Location,Venue,Date,Start_Time,End_Time,Duration
356,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,18/03/13,22:30,23:19,49
626,NY Phil Biennial,"Manhattan, NY","Museum of Modern Art, The",29/05/14,22:00,23:50,110
641,NY Phil Biennial,"Manhattan, NY",The Stanley H. Kaplan Penthouse,04/06/14,21:30,22:31,61
627,NY Phil Biennial,"Manhattan, NY","Museum of Modern Art, The",31/05/14,22:00,23:10,70
451,Tour - Chamber,"Sao Paulo, BRAZIL",Teatro Cultura Artistica,05/09/13,21:10,23:27,137
828,Tour,"Amsterdam, NETHERLANDS",Concertgebouw,22/04/15,20:15,21:09,54
593,Subscription Season,"Manhattan, NY",Avery Fisher Hall,11/04/14,20:00,22:00,120
735,Subscription Season,"Manhattan, NY",Avery Fisher Hall,06/12/14,20:00,23:07,187
369,Contact!,"Manhattan, NY",Symphony Space,06/04/13,20:00,22:09,129
611,Subscription Season,"Manhattan, NY",Avery Fisher Hall,10/05/14,20:00,22:10,130
810,Runout,"Greenvale, NY",Tilles Center for the Performing Arts (Main),21/03/15,20:00,21:11,71
865,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/06/15,20:00,22:11,131
271,Subscription Season,"Manhattan, NY",Avery Fisher Hall,20/11/12,19:30,20:06,36
796,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,05/03/15,10:30,13:02,152
921,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,09/11/15,10:30,23:30,780
634,NY Phil Biennial,"Manhattan, NY",Merkin Concert Hall,31/05/14,11:00,12:14,74
409,Subscription Season,"Manhattan, NY",Avery Fisher Hall,31/05/13,11:00,12:15,75
813,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,23/03/15,10:30,23:45,795
792,Subscription Season,"Manhattan, NY",Avery Fisher Hall,27/02/15,11:00,12:16,76
551,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,29/01/14,10:30,23:55,805
554,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,30/01/14,11:00,12:28,88
281,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,10/12/12,10:30,14:59,269
966,Young People's Concerts for Schools,"Manhattan, NY",David Geffen Hall,21/01/16,10:30,12:03,93
181,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,24/05/12,10:30,12:10,100
522,Subscription Season,"Manhattan, NY",Avery Fisher Hall,20/12/13,11:00,12:40,100
533,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,06/01/14,10:30,12:10,100
56,Subscription Season,"Manhattan, NY",Avery Fisher Hall,02/12/11,11:00,12:41,101
732,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,01/12/14,10:30,12:13,103
165,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/05/12,11:00,12:46,106
989,Subscription Season,"Manhattan, NY",David Geffen Hall,19/02/16,11:00,12:47,107
778,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,09/02/15,10:30,12:18,108
604,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,28/04/14,10:30,12:19,109
635,NY Phil Biennial,"Manhattan, NY",David Rubenstein Atrium at Lincoln Center,01/06/14,11:30,12:19,49
191,Subscription Season,"Manhattan, NY",Avery Fisher Hall,08/06/12,11:00,12:50,110
119,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,27/02/12,10:30,12:21,111
946,Subscription Season,"Manhattan, NY",David Geffen Hall,18/12/15,11:00,12:52,112
93,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,23/01/12,10:30,12:24,114
509,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,02/12/13,10:30,12:25,115
541,Subscription Season,"Manhattan, NY",Avery Fisher Hall,17/01/14,11:00,12:55,115
906,Subscription Season,"Manhattan, NY",David Geffen Hall,23/10/15,11:00,12:55,115
336,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/02/13,11:00,12:01,61
799,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,06/03/15,10:30,12:31,121
366,Subscription Season,"Manhattan, NY",Avery Fisher Hall,05/04/13,11:00,12:12,72
794,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,04/03/15,10:30,12:33,123
241,Recording Session Only,"Manhattan, NY",Avery Fisher Hall,06/10/12,10:00,12:05,125
305,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,07/01/13,10:30,12:36,126
240,Recording Session Only,"Manhattan, NY",Avery Fisher Hall,05/10/12,10:00,12:08,128
858,Subscription Season,"Manhattan, NY",Avery Fisher Hall,05/06/15,11:00,12:09,69
138,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,26/03/12,10:30,12:41,131
808,Subscription Season,"Manhattan, NY",Avery Fisher Hall,20/03/15,11:00,12:11,71
769,Subscription Season,"Manhattan, NY",Avery Fisher Hall,30/01/15,11:00,12:12,72
961,Subscription Season,"Manhattan, NY",David Geffen Hall,15/01/16,11:00,12:12,72
289,Subscription Season,"Manhattan, NY",Avery Fisher Hall,14/12/12,11:00,12:15,75
129,Subscription Season,"Manhattan, NY",Avery Fisher Hall,16/03/12,11:00,12:21,81
403,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,23/05/13,10:30,12:51,141
599,Subscription Season,"Manhattan, NY",Avery Fisher Hall,25/04/14,11:00,12:22,82
684,Subscription Season,"Manhattan, NY",Avery Fisher Hall,26/09/14,11:00,12:22,82
964,Young People's Concerts for Schools,"Manhattan, NY",David Geffen Hall,20/01/16,10:30,12:53,143
848,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/05/15,11:00,12:25,85
259,Subscription Season,"Manhattan, NY",Avery Fisher Hall,02/11/12,11:00,12:26,86
590,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/04/14,11:00,12:27,87
460,Subscription Season,"Manhattan, NY",Avery Fisher Hall,27/09/13,11:00,12:30,90
639,Reading Rehearsal,"Manhattan, NY",Avery Fisher Hall,03/06/14,10:00,12:30,150
549,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,28/01/14,10:30,12:01,91
484,Subscription Season,"Manhattan, NY",Avery Fisher Hall,01/11/13,11:00,12:35,95
182,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,25/05/12,10:30,12:06,96
252,Subscription Season,"Manhattan, NY",Avery Fisher Hall,19/10/12,11:00,12:36,96
404,Young People's Concerts for Schools,"Manhattan, NY",Avery Fisher Hall,24/05/13,10:00,11:43,103
605,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,01/05/14,19:30,20:57,87
997,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,29/02/16,10:15,11:45,90
969,Young People's Concerts for Schools,"Manhattan, NY",David Geffen Hall,22/01/16,11:00,12:38,98
396,Tour,"Dresden, GERMANY",Semperopera,13/05/13,20:00,21:44,104
673,Tour,"Vail, CO",Gerald R. Ford Amphitheater,23/07/14,18:00,19:45,105
1010,Subscription Season,"Manhattan, NY",David Geffen Hall,18/03/16,20:00,21:47,107
994,Subscription Season,"Manhattan, NY",David Geffen Hall,27/02/16,20:00,21:48,108
376,Insight Series,"Manhattan, NY",New York Institute of Technology Broadway Auditorium,16/04/13,18:30,20:21,111
765,Subscription Season,"Manhattan, NY",Avery Fisher Hall,23/01/15,20:00,21:54,114
258,Subscription Season,"Manhattan, NY",Avery Fisher Hall,01/11/12,19:30,21:25,115
583,Chamber,"Manhattan, NY",Merkin Concert Hall,23/03/14,15:00,16:55,115
656,Festival,"Manhattan, NY",Avery Fisher Hall,25/06/14,19:30,21:25,115
291,Chamber,"Manhattan, NY",Avery Fisher Hall,16/12/12,15:00,16:56,116
640,Insight Series,"Manhattan, NY",David Rubenstein Atrium at Lincoln Center,04/06/14,19:30,21:26,116
358,Subscription Season,"Manhattan, NY",Avery Fisher Hall,21/03/13,19:30,21:27,117
610,Subscription Season,"Manhattan, NY",Avery Fisher Hall,09/05/14,20:00,21:57,117
66,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/12/11,19:30,21:28,118
326,Subscription Season,"Manhattan, NY",Avery Fisher Hall,07/02/13,19:30,21:28,118
48,Subscription Season,"Manhattan, NY",Avery Fisher Hall,19/11/11,20:00,21:59,119
187,Subscription Season,"Manhattan, NY",Avery Fisher Hall,02/06/12,20:00,21:59,119
74,Subscription Season,"Manhattan, NY",Avery Fisher Hall,29/12/11,19:30,21:30,120
562,Tour,"Tokyo, JAPAN",Suntory Hall,12/02/14,19:00,21:00,120
394,Tour,"Berlin, GERMANY",Konzerthaus Berlin,11/05/13,20:00,22:01,121
234,Subscription Season,"Manhattan, NY",Avery Fisher Hall,29/09/12,20:00,22:02,122
359,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/03/13,14:00,16:02,122
538,Contact!,"Manhattan, NY",SubCulture,13/01/14,19:30,21:32,122
744,Subscription Season,"Manhattan, NY",Avery Fisher Hall,18/12/14,19:30,21:32,122
886,Tour,"Santa Barbara, CA",Santa Barbara Bowl,03/08/15,19:00,21:02,122
105,Tour,"Dusseldorf, GERMANY",Tonhalle,11/02/12,20:00,22:03,123
178,Pension Fund Benefit Concert,"Manhattan, NY",Avery Fisher Hall,23/05/12,19:30,21:33,123
312,Subscription Season,"Manhattan, NY",Avery Fisher Hall,18/01/13,14:00,16:04,124
139,Pension Fund Benefit Concert,"Manhattan, NY",Avery Fisher Hall,26/03/12,19:30,21:34,124
630,NY Phil Biennial,"Manhattan, NY",Metropolitan Museum of Art,01/06/14,14:00,16:05,125
740,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/12/14,20:00,22:05,125
857,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/06/15,19:30,21:35,125
167,Tour,"Costa Mesa, CA",Segerstrom Concert Hall (Ren¸e and Henry),08/05/12,20:00,22:06,126
733,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/12/14,19:30,21:36,126
788,Subscription Season,"Manhattan, NY",Avery Fisher Hall,21/02/15,20:00,22:06,126
862,Subscription Season,"Manhattan, NY",Avery Fisher Hall,10/06/15,19:30,21:36,126
508,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,01/12/13,15:00,17:07,127
15,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,01/10/11,14:00,16:08,128
350,Subscription Season,"Manhattan, NY",Avery Fisher Hall,13/03/13,19:30,21:38,128
382,Chamber Concert (Private),"Manhattan, NY",The Stanley H. Kaplan Penthouse,23/04/13,19:00,21:08,128
136,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,25/03/12,00:30,02:39,129
588,Subscription Season,"Manhattan, NY",Avery Fisher Hall,02/04/14,19:30,21:40,130
197,Subscription Season,"Manhattan, NY",Avery Fisher Hall,15/06/12,14:00,16:11,131
51,Subscription Season,"Manhattan, NY",Avery Fisher Hall,25/11/11,20:00,22:12,132
464,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/10/13,20:00,22:12,132
315,Chamber,"Manhattan, NY",The Stanley H. Kaplan Penthouse,22/01/13,19:00,21:12,132
736,Subscription Season,"Manhattan, NY",Avery Fisher Hall,09/12/14,19:30,21:42,132
618,Subscription Season,"Manhattan, NY",Avery Fisher Hall,23/05/14,14:00,16:13,133
981,Subscription Season,"Manhattan, NY",David Geffen Hall,06/02/16,20:00,22:13,133
450,Tour - Chamber,"Sao Paulo, BRAZIL",Teatro Cultura Artistica,04/09/13,21:10,23:24,134
277,Subscription Season,"Manhattan, NY",Avery Fisher Hall,30/11/12,14:00,16:14,134
308,Subscription Season,"Manhattan, NY",Avery Fisher Hall,11/01/13,20:00,22:14,134
537,Subscription Season,"Manhattan, NY",Avery Fisher Hall,14/01/14,19:30,21:44,134
767,Subscription Season,"Manhattan, NY",Avery Fisher Hall,28/01/15,19:30,21:44,134
496,Subscription Season,"Manhattan, NY",Avery Fisher Hall,19/11/13,19:30,21:45,135
926,Very Young People's Concert,"Queens, NY",Jamaica Performing Arts Center,14/11/15,15:00,17:15,135
506,Saturday Matinee,"Manhattan, NY",Avery Fisher Hall,30/11/13,14:00,16:16,136
931,Subscription Season,"Manhattan, NY",David Geffen Hall,21/11/15,20:00,22:16,136
454,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,17/09/13,19:30,21:46,136
704,Chamber Concert (Private),"Manhattan, NY",Hon. Frank and Mrs. Newman Residence,27/10/14,19:30,21:46,136
658,Festival,"Manhattan, NY",Avery Fisher Hall,27/06/14,20:00,22:17,137
766,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,24/01/15,14:00,16:17,137
868,Parks,"Manhattan, NY",Great Lawn,18/06/15,20:00,22:17,137
62,Subscription Season,"Manhattan, NY",Avery Fisher Hall,08/12/11,19:30,21:47,137
459,Subscription Season,"Manhattan, NY",Avery Fisher Hall,26/09/13,19:30,21:47,137
11,Runout,"Katonah, NY",Caramoor Venetian Theater,23/09/11,19:30,21:48,138
61,Subscription Season,"Manhattan, NY",Avery Fisher Hall,07/12/11,19:30,21:48,138
133,Subscription Season,"Manhattan, NY",Avery Fisher Hall,22/03/12,19:30,21:48,138
207,Non-Subscription,"Manhattan, NY",Park Avenue Armory,29/06/12,20:00,22:18,138
497,Chamber,"Manhattan, NY",Merkin Concert Hall,17/11/13,15:00,17:18,138
591,Subscription Season,"Manhattan, NY",Avery Fisher Hall,05/04/14,20:00,22:18,138
709,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,05/11/14,19:30,21:48,138
999,Subscription Season,"Manhattan, NY",David Geffen Hall,03/03/16,19:30,21:48,138
806,Chamber Concert (Private),"Manhattan, NY",The Stanley H. Kaplan Penthouse,16/03/15,19:00,21:18,138
118,Very Young People's Concert,"Manhattan, NY",Merkin Concert Hall,26/02/12,15:00,17:19,139
265,Subscription Season,"Manhattan, NY",Avery Fisher Hall,09/11/12,20:00,22:19,139
339,Non-Subscription,"Manhattan, NY",Avery Fisher Hall,27/02/13,19:30,21:49,139
357,Rush Hour,"Manhattan, NY",Avery Fisher Hall,20/03/13,18:45,21:04,139
444,Tour,"Vail, CO",Gerald R. Ford Amphitheater,20/07/13,18:00,20:19,139
461,Subscription Season,"Manhattan, NY",Avery Fisher Hall,28/09/13,20:00,22:19,139
463,Subscription Season,"Manhattan, NY",Avery Fisher Hall,03/10/13,19:30,21:49,139
829,Tour,"Luxembourg, LUXEMBOURG",Philharmonie Luxembourg (Jos¸phine-Charlotte),23/04/15,20:00,22:19,139
839,Subscription Season,"Manhattan, NY",Avery Fisher Hall,09/05/15,20:00,22:19,139
398,Tour,"Vienna, AUSTRIA",Wiener Konzerthaus (Grosser Saal),15/05/13,19:30,21:50,140
706,Subscription Season,"Manhattan, NY",Avery Fisher Hall,31/10/14,19:30,21:50,140
30,Subscription Season,"Manhattan, NY",Avery Fisher Hall,21/10/11,11:00,13:20,140
170,Tour,"Davis, California",Jackson Hall,12/05/12,20:00,22:21,141
560,Tour,"Osaka, JAPAN",Symphony Hall,10/02/14,19:00,21:21,141
669,Parks - Free Indoor Concert,"Staten Island, NY","Center for the Arts, College of Staten Island / CUNY",13/07/14,15:00,17:21,141
902,Subscription Season,"Manhattan, NY",David Geffen Hall,15/10/15,19:30,21:51,141
917,Contact!,"Manhattan, NY",Metropolitan Museum of Art,06/11/15,19:00,21:21,141
14,Subscription Season,"Manhattan, NY",Avery Fisher Hall,04/10/11,19:30,21:52,142
120,Subscription Season,"Manhattan, NY",Avery Fisher Hall,01/03/12,19:30,21:52,142
