Collection,Marketin_expense,Production_expense,Multiplex_coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,Time_taken,Twitter_hastags,Genre,Avg_age_actors,MPAA_film_rating,Num_multiplex,3D_available
48000,20.1264,59.62,0.462,36524.125,138.7,7.825,8.095,7.91,7.995,7.94,527367,109.6,223.84,Thriller,23,PG,494,YES
43200,20.5462,69.14,0.531,35668.655,152.4,7.505,7.65,7.44,7.47,7.44,494055,146.64,243.456,Drama,42,PG,462,NO
69400,20.5458,69.14,0.531,39912.675,134.6,7.485,7.57,7.495,7.515,7.44,547051,147.88,2022.4,Comedy,38,PG,458,NO
66800,20.6474,59.36,0.542,38873.89,119.3,6.895,7.035,6.92,7.02,8.26,516279,185.36,225.344,Drama,45,PG,472,YES
72400,21.381,59.36,0.542,39701.585,127.7,6.92,7.07,6.815,7.07,8.26,531448,176.48,225.792,Drama,55,PG,395,NO
57400,20.597,59.36,0.542,35718.65,132.2,6.89,7.1,6.885,7.005,7.26,498425,143.48,284.592,Comedy,53,PG,460,YES
45800,21.7658,70.74,0.476,33396.66,140.1,7.065,7.265,7.15,7.4,8.96,459241,139.16,243.664,Thriller,41,PG,522,YES
44200,22.891,70.74,0.476,34285.46,169.6,6.98,7.075,6.875,7.17,7.96,400821,116.84,243.536,Drama,56,PG,571,NO
33000,24.2248,70.74,0.476,31280.205,173.5,6.91,7.075,6.85,7,7.96,295168,118.6,242.64,Comedy,55,PG,564,YES
37800,23.4008,70.74,0.476,33352.22,159.4,6.665,6.725,6.575,6.855,7.96,412012,189.56,283.024,Thriller,45,PG,508,YES
30000,24.4978,70.74,0.476,35424.235,167.8,6.675,6.845,6.725,7.06,8.96,369595,120,222.4,Drama,29,PG,578,NO
37800,22.3494,70.74,0.476,33379.995,156.4,6.865,7.035,6.745,6.905,8.96,451646,185.56,263.024,Action,23,PG,553,NO
43400,21.8756,70.74,0.476,32713.395,112.5,7.12,7.43,7.21,7.335,8.96,407557,110.68,203.472,Action,57,PG,575,YES
40800,32.5952,71.28,0.462,33046.695,135.3,7.64,7.705,7.535,7.705,6.8,472490,118.16,283.264,Comedy,39,PG,535,YES
36400,32.7592,71.28,0.462,33863.28,158,7.7,7.9,7.76,7.71,7.8,495311,139.28,262.912,Comedy,49,PG,599,NO
39800,32.5478,71.28,0.462,32407.87,130,7.7,7.825,7.64,7.84,6.8,497626,169.96,283.184,Thriller,28,PG,598,YES
46200,41.0786,71.28,0.462,32968.925,102.8,7.67,7.805,7.74,7.785,7.8,532331,109.24,203.696,Comedy,46,PG,547,NO
35000,35.684,71.28,0.462,33274.45,155.2,7.72,7.925,7.82,8.015,6.8,431225,109,222.8,Drama,56,PG,548,NO
40400,36.0542,71.28,0.462,30308.08,110.1,8.1,8.24,8.07,8,6.8,448317,170.08,243.232,Action,41,PG,543,YES
36400,34.516,71.28,0.462,31813.485,143,8.01,8.175,8,8.215,7.8,463328,171.28,242.912,Action,27,PG,578,NO
27200,45.0358,71.28,0.462,30941.35,171.6,8.035,8.205,7.955,8.21,7.8,371051,,302.176,Action,44,PG,484,YES
39200,37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,183.84,283.136,Comedy,23,PG,541,YES
30400,44.6494,71.28,0.462,34118.81,165.2,7.91,8.01,7.845,8.275,6.8,387496,116.08,282.432,Thriller,48,PG,575,YES
29000,39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,149.8,262.32,Drama,29,PG,527,YES
31200,35.0052,71.28,0.462,32907.82,167.6,7.655,7.965,7.64,7.94,7.8,414145,164.24,262.496,Drama,27,PG,502,YES
27800,36.8108,71.28,0.462,31102.445,159.2,7.655,7.835,7.64,7.96,7.8,422375,187.56,262.224,Thriller,35,PG,516,YES
33200,33.4382,71.28,0.462,32291.215,163.8,7.53,7.705,7.645,7.755,6.8,436807,194.64,242.656,Drama,59,PG,476,NO
29600,39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,173.92,262.368,Drama,20,PG,488,YES
36800,35.4598,71.28,0.462,36079.725,167.9,7.715,7.825,7.655,7.895,7.8,455480,119.36,302.944,Thriller,35,PG,544,YES
42000,40.049,71.28,0.462,37074.07,160.8,7.735,8.03,7.82,7.935,6.8,466851,180.4,243.36,Thriller,50,PG,488,NO
25400,42.6162,71.28,0.462,31735.715,167.6,7.74,7.91,7.815,8.07,6.8,350102,197.08,242.032,Drama,34,PG,586,NO
29000,47.0944,71.28,0.462,33729.96,173.5,7.805,7.97,7.76,8.115,6.8,436306,185.8,242.32,Comedy,23,PG,523,YES
