Twitter ID,Lastname,Firstname,Fullname,Gender,Party,Constituency,Elected,OnTwitter
507910843.0,Haughey,Sean,Sean Haughey,Male,ff,Dublin Bay North,1,1
238613047.0,O'Leary,Julie,Julie O'Leary,Female,fg,Cork North Central,0,1
20586381.0,Cannon,Ciaran,Ciaran Cannon,Male,fg,Galway East,1,1
219454029.0,O'Brien,Johnathan,Jonathan O'Brien,Male,sf,Cork North Central,1,1
19735329.0,Donohoe,Paschal,Paschal Donohoe,Male,fg,Dublin Central,1,1
0.0,Quigley,Adam,Kiaran Adam Quigley,Male,ind,Dublin South West,0,0
0.0,Leahy,John,John Leahy,Male,renua,Offaly,0,0
20777397.0,Doherty,Gary,Gary Doherty,Male,sf,Donegal,0,1
201067717.0,Hayde,Lorraine,Lorraine Hayde,Female,ind,Kildare South,0,1
29110219.0,McAuliffe,Paul,Paul McAuliffe,Male,ff,Dublin North West,0,1
524423189.0,Kelleher,Billy,Billy Kelleher,Male,ff,Cork North Central,1,1
0.0,Power,Mailo,Mailo Power,Female,renua,Waterford,0,0
0.0,Murphy,Eugene,Eugene Murphy,Male,ff,Roscommon Galway,1,0
22619288.0,O'Tuathail,Niall,Niall O'Tuathail,Male,sd,Wicklow,0,1
319686489.0,Browne,James,james Browne,Male,ff,Wexford,1,1
18492194.0,Lawless,James,James Lawless,Male,ff,Kildare North,1,1
327886319.0,Kehoe,Paul,Paul Kehoe,Male,fg,Wexford,1,1
190987689.0,Murphy,Catherine,Catherine Murphy,Female,sd,Kildare North,1,1
233919401.0,O'Mahony,John,John O'Mahony,Male,fg,Galway West,0,1
3433011335.0,Farrell,Anne,Anne Farrell,Female,renua,Roscommon Galway,0,1
0.0,Durkin,Mike,Mike Durkin,Male,ff,Cavan Monaghan,0,0
77989626.0,Lynch,Kathleen,Kathleen Lynch,Female,lab,Cork North Central,0,1
104578228.0,Stanton,David,David Stanton,Male,fg,Cork East,1,1
0.0,Martin,Barry,Barry Martin,Male,aaa-pbp,Dublin Fingal,0,0
114007914.0,Martin,Micheal,Micheal Martin,Male,ff,Cork South Central,1,1
3123373653.0,O'Reilly,Louise,Louise O'Reilly,Female,sf,Dublin Fingal,1,1
0.0,Sheehan,Margaret,Margaret Sheehan,Female,gp,Mayo,0,0
42974146.0,Gilroy,Ben,Ben Gilroy,Male,ddi,Meath East,0,1
227431311.0,O'Muiri,Naoise,Naoise O'Muiri,Male,fg,Dublin Bay North,0,1
4273651635.0,Smollen,Ken,Ken Smollen,Male,ind,Offaly,0,1
4433446522.0,Homits,Alex,Alex Homits,Male,ind,Cork North West,0,1
2399383987.0,Fitzgerald,Shane,Shane Fitzgerald,Male,renua,Kildare North,0,1
237376611.0,Bruton,Richard,Richard Bruton,Male,fg,Dublin Bay North,1,1
118999126.0,Coveney,Simon,Simon Coveney,Male,fg,Cork South Central,1,1
0.0,Timmins,Billy,Billy Timmins,Male,renua,Wicklow,0,0
0.0,O'Donnell,Grace,Grace O'Donnell,Female,fg,Kerry,0,0
0.0,Sinclair,Stephen,Stephen Sinclair,Male,ddi,Dublin South West,0,0
322638688.0,Moran,Mary,Mary Moran,Female,lab,Louth,0,1
0.0,Buckley,Pat,Pat Buckley,Male,sf,Cork East,1,0
135514272.0,Kenny,Enda,Enda Kenny,Male,fg,Mayo,1,1
90059455.0,Hannigan,Dominic,Dominic Hannigan,Male,lab,Meath East,0,1
3332899594.0,Cassells,Shane,Shane Cassells,Male,ff,Meath West,1,1
77995220.0,Costello,Joe,Joe Costello,Male,lab,Dublin Central,0,1
1104684048.0,Deasy,John,John Deasy,Male,fg,Waterford,1,1
240624439.0,Shatter,Alan,Alan Shatter,Male,fg,Dublin Rathdown,0,1
2479549147.0,Nolan,Lorna,Lorna Nolan,Female,ind,Dublin West,0,1
254127396.0,Shiels,Dessie,Dessie Shiels,Male,ind,Donegal,0,1
168669206.0,Coonan,Noel,Noel Coonan,Male,fg,Tipperary,0,1
77184360.0,Burton,Joan,Joan Burton,Female,lab,Dublin West,1,1
0.0,Hennessy,Miriam,Miriam Hennessy,Female,gp,Roscommon Galway,0,0
347841423.0,Morgan,James,James Morgan,Male,ind,Longford Westmeath,0,1
0.0,Carthy,Ger,Ger Carthy,Male,ind,Wexford,0,0
135877820.0,Carey,Joe,Joe Carey,Male,fg,Clare,1,1
116560657.0,Smyth,Ossian,Ossian Smyth,Male,gp,Dun Laoghaire,0,1
2207936117.0,Murphy O'Mahony,Margaret,Margaret Murphy O' Mahony,Female,ff,Cork South West,1,1
180885830.0,Hunt,Carol,Carol Hunt,Female,ind,Dun Laoghaire,0,1
196112862.0,Trevaskis Doyle,Anna,Anna Trevaskis Doyle,Female,aaa-pbp,Wicklow,0,1
519212054.0,Corcoran-Kennedy,Marcella,Marcella Corcoran Kennedy,Female,fg,Offaly,1,1
21499082.0,Dearey,Mark,Mark Dearey,Male,gp,Louth,0,1
0.0,O'Rourke,Paddy,Paddy O'Rourke,Male,ff,Sligo Leitrim,0,0
37294114.0,Hogan,Julie,Julie Hogan,Female,fg,Wexford,0,1
0.0,Ryan,Fiona,Fiona Ryan,Female,aaa-pbp,Cork South Central,0,0
212555476.0,Quinlivan,Maurice,Maurice Quinlivan,Male,sf,Limerick City,1,1
2387971004.0,Hoade,Mary,Mary Hoade,Female,ff,Galway West,0,1
225391077.0,Smyth,Carrie,Carrie Smyth,Female,lab,Dun Laoghaire,0,1
330959373.0,Merriman,Ashling,Ashling Merriman,Female,aaa-pbp,Kildare North,0,1
92521829.0,Mitchell-OConnor,Mary,Mary Mitchell O'Connor,Female,fg,Dun Laoghaire,1,1
0.0,Kilbride,Frank,Frank Kilbride,Male,ind,Longford Westmeath,0,0
66682393.0,Cullinane,David,David Cullinane,Male,sf,Waterford,1,1
4742298017.0,Coyne,Liam,Liam Coyne,Male,sd,Dublin South Central,0,1
0.0,Fleming,Tom,Tom Fleming,Male,ind,Kerry,0,0
219007038.0,Reilly,Kathryn,Kathryn Reilly,Female,sf,Cavan Monaghan,0,1
3959462177.0,Kelly,Leonard,Leonard Kelly,Male,sd,Wexford,0,1
14618896.0,Moran,Oliver,Oliver Moran,Male,gp,Cork North Central,0,1
246917372.0,Curry,Nicola,Nicola Curry,Female,ind,Dublin Rathdown,0,1
38000023.0,McEntee,Helen,Helen McEntee,Female,fg,Meath East,1,1
2227385384.0,Rabbitte,Anne,Anne Rabbitte,Female,ff,Galway East,1,1
0.0,Smyth,Niamh,Niamh Smyth,Female,ff,Cavan Monaghan,1,0
39019643.0,Higgins,Lorraine,Lorraine Higgins,Female,lab,Galway East,0,1
2823032296.0,Bailey,Maria,Maria Bailey,Female,fg,Dun Laoghaire,1,1
243632271.0,MacSharry,Marc,Marc MacSharry,Male,ff,Sligo Leitrim,1,1
274437336.0,McLoughlin Healy,Fiona,Fiona McLoughlin Healy,Female,fg,Kildare South,0,1
236377912.0,Boyd-Barrett,Richard,Richard Boyd Barrett,Male,aaa-pbp,Dun Laoghaire,1,1
2352318326.0,Carney Boud,Cathleen,Carney Boud,Female,sf,Dublin North West,0,1
39347912.0,Cooney,Donna,Donal Cooney,Female,gp,Dublin Bay North,0,1
2227119464.0,McMenamin,Seamus,Seamus McMenamin,Male,gp,Meath West,0,1
361335767.0,Collins,Joan,Joan Collins,Female,ind,Dublin South Central,1,1
116547221.0,Halligan,John,John Halligan,Male,ind,Waterford,1,1
148872468.0,McDonald,Mary Lou,Mary Lou McDonald,Female,sf,Dublin Central,1,1
171843834.0,Walsh,Noel,Noel Walsh,Male,ind,Carlow-Kilkenny,0,1
22924705.0,D'Arcy,Michael,Michael D'Arcy,Male,fg,Wexford,1,1
67268150.0,Calleary,Dara,Dara Calleary,Male,ff,Mayo,1,1
21117425.0,Harris,Simon,Simon Harris,Male,fg,Wicklow,1,1
2289556405.0,Conroy,Caroline,Caroline Conroy,Female,gp,Dublin North West,0,1
0.0,Stagg,Emmet,Emmet Stagg,Male,lab,Kildare North,0,0
249347954.0,O'Sullivan,Maureen,Maureen O'Sullivan,Female,ind,Dublin Central,1,1
2914205799.0,Fitzmaurice,Michael,Michael Fitzmaurice,Male,ind,Roscommon Galway,1,1
249114962.0,Jackson,Donal,Donal Jackson,Male,ind,Longford Westmeath,0,1
240317445.0,Hogan,Paul,Paul Hogan,Male,sf,Longford Westmeath,0,1
0.0,Storey-Cosgrave,Alexander,Alexander Storey-Cosgrave,Male,gp,Limerick County,0,0
